hostname_check-hostname-check-1-1  | 2023-07-11 15:56:58,599 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-1-1  | 2023-07-11 15:56:58,599 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-1-1  | 2023-07-11 15:56:58,599 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-1-1  | 2023-07-11 15:56:58,599 - WARNING - Checked 6 hostnames, 6 were successful, 0 failed
hostname_check-hostname-check-1-1  | 2023-07-11 15:56:58,599 - INFO - Sleeping for 9.994025945663452 seconds
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:07,601 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:07,602 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:07,603 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:07,604 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:07,605 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:07,606 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:07,606 - WARNING - Checked 6 hostnames, 6 were successful, 0 failed
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:07,606 - INFO - Sleeping for 9.994795799255371 seconds
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:16,608 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:16,609 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-1-1  | 2023-07-11 15:57:16,610 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:07,902 - INFO - Sleeping for 9.995187759399414 seconds
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:16,904 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:16,905 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:16,906 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:16,907 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:16,907 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:16,908 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:16,908 - WARNING - Checked 6 hostnames, 6 were successful, 0 failed
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:16,909 - INFO - Sleeping for 9.995057821273804 seconds
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:25,911 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:25,911 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:25,912 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:25,913 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:25,913 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:25,914 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:25,914 - WARNING - Checked 6 hostnames, 6 were successful, 0 failed
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:25,914 - INFO - Sleeping for 9.995431184768677 seconds
hostname_check-hostname-check-3-1  | 2023-07-11 15:56:58,399 - WARNING - hostname-check-5 was not resolved
hostname_check-hostname-check-3-1  | 2023-07-11 15:56:58,399 - ERROR - Checked 2 hostnames, 1 were successful, 1 failed
hostname_check-hostname-check-3-1  | 2023-07-11 15:56:58,400 - INFO - Sleeping for 9.994108438491821 seconds
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:07,401 - INFO - hostname-check-3 was resolved to ['172.30.0.2', '172.30.0.2', '172.30.0.2']
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:07,402 - WARNING - hostname-check-5 was not resolved
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:07,402 - ERROR - Checked 2 hostnames, 1 were successful, 1 failed
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:07,403 - INFO - Sleeping for 9.998299598693848 seconds
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:16,405 - INFO - hostname-check-3 was resolved to ['172.30.0.2', '172.30.0.2', '172.30.0.2']
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:16,407 - WARNING - hostname-check-5 was not resolved
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:16,407 - ERROR - Checked 2 hostnames, 1 were successful, 1 failed
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:16,407 - INFO - Sleeping for 9.996315956115723 seconds
